flight,k,t,method,action,twin_err,aoi,Ck,Dk,Dr,q,sinr_db,assoc_error_m
Opt1,0,0.0,proposed,SYNC,25.368484555742047,0,0.003318719315100489,57.73312084837366,558.7866480642265,0.05969968036724618,19.1932106,25.368484555742047
Opt1,0,0.0,periodic,SYNC,25.368484555742047,0,0.003318719315100489,57.73312084837366,558.7866480642265,0.05969968036724618,19.1932106,25.368484555742047
Opt1,0,0.0,event,SYNC,25.368484555742047,0,0.003318719315100489,57.73312084837366,558.7866480642265,0.05969968036724618,19.1932106,25.368484555742047
Opt1,0,0.0,unconditional,SYNC,25.368484555742047,0,0.003318719315100489,57.73312084837366,558.7866480642265,0.05969968036724618,19.1932106,25.368484555742047
Opt1,1,0.2562513351440429,proposed,FUSE,20.862921040202746,0,0.018948637488619566,10.395925427366397,87.39844059467288,0.1468155633565973,23.1012115,17.43676145745168
Opt1,1,0.2562513351440429,periodic,HOLD,24.990911765916962,1,0.018948637488619566,10.395925427366397,87.39844059467288,0.1468155633565973,23.1012115,17.43676145745168
Opt1,1,0.2562513351440429,event,SYNC,17.32093849978411,0,0.018948637488619566,10.395925427366397,87.39844059467288,0.1468155633565973,23.1012115,17.43676145745168
Opt1,1,0.2562513351440429,unconditional,SYNC,17.32093849978411,0,0.018948637488619566,10.395925427366397,87.39844059467288,0.1468155633565973,23.1012115,17.43676145745168
Opt1,2,1.0250051021575928,proposed,FUSE,17.031229580732063,0,0.015225930408341231,5.757184182276472,49.96431065363485,0.09282144732815995,21.1099739,10.768604199060388
Opt1,2,1.0250051021575928,periodic,HOLD,23.90845736193574,2,0.015225930408341231,11.043601600110847,95.84302388337579,0.09282144732815995,21.1099739,10.768604199060388
Opt1,2,1.0250051021575928,event,SYNC,14.72779663028621,0,0.015225930408341231,0.9670488744589675,8.392632379117353,0.09282144732815995,21.1099739,10.768604199060388
Opt1,2,1.0250051021575928,unconditional,SYNC,14.72779663028621,0,0.015225930408341231,0.9670488744589675,8.392632379117353,0.09282144732815995,21.1099739,10.768604199060388
Opt1,3,1.2812564373016355,proposed,FUSE,14.824466409046966,0,0.010302608887052632,5.1243123740833925,46.456855606475926,0.06061511674021951,19.2593,21.177439163617368
Opt1,3,1.2812564373016355,periodic,HOLD,23.56910867844011,3,0.010302608887052632,13.451146200285457,121.94767046769606,0.06061511674021951,19.2593,21.177439163617368
Opt1,3,1.2812564373016355,event,SYNC,13.513827225339611,0,0.010302608887052632,2.400961228659888,21.767039355509876,0.06061511674021951,19.2593,21.177439163617368
Opt1,3,1.2812564373016355,unconditional,SYNC,13.513827225339611,0,0.010302608887052632,2.400961228659888,21.767039355509876,0.06061511674021951,19.2593,21.177439163617368
Opt1,4,1.5375077724456787,proposed,FUSE,10.7876725065373,0,0.04176632114491349,8.600944013111429,60.669868158034134,0.18158284068185998,24.0242386,13.29609579166941
Opt1,4,1.5375077724456787,periodic,HOLD,23.224486492273428,4,0.04176632114491349,19.65031550393512,138.61060472782228,0.18158284068185998,24.0242386,13.29609579166941
Opt1,4,1.5375077724456787,event,SYNC,8.389704915278863,0,0.04176632114491349,6.192766118919359,43.68291473536309,0.18158284068185998,24.0242386,13.29609579166941
